Community,Zip,Category,Category Locked,Prospect Name,Rating,Address,Phone,Website,Decision Maker,Email,Outreach Status,Last Touch,Next Step,Estimated Ad Tier,Notes
San Ramon,94582/94583,HVAC,No,,IDEAL,,,,,,Not started,,Research top-rated San Ramon HVAC companies,Tier 1-2 Standard,"Prioritize Bishop Ranch and Dougherty Valley service coverage"
San Ramon,94582/94583,Pest Control,No,,IDEAL,,,,,,Not started,,Find locally reviewed family pest control provider,Tier 1-2 Standard,"Position around family homes and seasonal ant/rodent needs"
San Ramon,94582/94583,Family Dentistry,No,,IDEAL,,,,,,Not started,,Identify practice near family neighborhoods,Tier 1-2 Premium,"Exclusive smile category; avoid pairing with pediatric dentistry unless differentiated"
San Ramon,94582/94583,Tutoring/Test Prep,No,,IDEAL,,,,,,Not started,,Find SAT/ACT or math tutoring center,Tier 1-2 Standard,"Strong fit for tech-family households"
San Ramon,94582/94583,Pediatric Dentistry,No,,GOOD,,,,,,Not started,,Research child-focused practices,Tier 1-2 Standard,"Only if general dentistry category is not locked"
San Ramon,94582/94583,Landscaping,No,,GOOD,,,,,,Not started,,Find maintenance/design operator,Tier 1-2 Standard,"Emphasize high-homeownership recurring service"
San Ramon,94582/94583,House Cleaning,No,,GOOD,,,,,,Not started,,Research recurring residential cleaning teams,Tier 1-2 Standard,"Useful filler category with broad household relevance"
San Ramon,94582/94583,Plumbing,No,,GOOD,,,,,,Not started,,Identify emergency/residential plumbing provider,Tier 1-2 Standard,"Avoid overlap with HVAC if same company offers both"
San Ramon,94582/94583,Med Spa/Aesthetics,No,,STRONG,,,,,,Not started,,Research premium local med spa,Tier 1-2 Premium,"Better fit for premium placement if brand is polished"
San Ramon,94582/94583,Roofing,No,,GOOD,,,,,,Not started,,Find residential roofing company serving 94582/94583,Tier 1-2 Standard,"Seasonal hook: roof inspection before storms"
San Ramon,94582/94583,Orthodontics,No,,GOOD,,,,,,Not started,,Find family orthodontic office,Tier 1-2 Standard,"Pairs with tutoring/family dentist if category boundaries are clear"
San Ramon,94582/94583,Financial Planning,No,,STRONG,,,,,,Not started,,Find local fiduciary planner,Tier 1-2 Standard,"Consider if home-service categories do not fill card"
